feature,gain,fold,mean_gain
flux_by_flux_ratio_sq__first_location_of_minimum,235,4,231.28571428571428
3__kurtosis,230,4,224.14285714285714
flux_by_flux_ratio_sq__autocorrelation__lag_3,250,4,219.14285714285714
"2__fft_coefficient__coeff_0__attr_""abs""_diff",239,4,219.85714285714286
5__cid_ce__normalize_True,248,4,252.85714285714286
2__kurtosis,223,4,200.57142857142858
abs_energy_5_by_3,173,4,192.57142857142858
"5__fft_coefficient__coeff_0__attr_""abs""_norm",233,4,212.42857142857142
2__flux_dif3,296,4,278.42857142857144
5__binned_entropy__max_bins_10,206,4,223.85714285714286
flux_by_flux_ratio_sq__count_below_mean,340,4,266.14285714285717
0__mean,224,4,209.85714285714286
flux_norm_fft_4_by_2,222,4,215.71428571428572
bottom__abs_energy_norm,163,4,177.57142857142858
4__skewness_diff,214,4,246.42857142857142
flux_diff_skew,271,4,240.85714285714286
flux_diff__longest_strike_below_mean,304,4,250.28571428571428
4__median,182,4,196.57142857142858
4__skewness,227,4,206.0
"5__fft_coefficient__coeff_0__attr_""abs""",286,4,247.42857142857142
flux_diff_4_by_3,196,4,174.14285714285714
"0__fft_coefficient__coeff_1__attr_""abs""_norm",155,4,182.57142857142858
0__time_reversal_asymmetry_statistic__lag_4_diff,178,4,190.28571428571428
flux__mean_second_derivative_central,208,4,195.71428571428572
2__binned_entropy__max_bins_10,179,4,187.14285714285714
flux_diff_3_by_0,232,4,225.14285714285714
1__flux_dif3,228,4,199.42857142857142
5__sample_entropy_norm,252,4,236.28571428571428
flux_norm_fft_2_by_0,217,4,173.85714285714286
"1__fft_coefficient__coeff_0__attr_""abs""_diff",190,4,195.14285714285714
4__median_diff,108,4,160.57142857142858
4__flux_by_flux_ratio_sq_skew,162,4,153.71428571428572
1__sample_entropy_norm,224,4,227.42857142857142
4__autocorrelation__lag_3,140,4,177.57142857142858
flux__absolute_sum_of_changes,255,4,263.57142857142856
"4__fft_coefficient__coeff_1__attr_""abs""_norm",222,4,185.42857142857142
3__median,195,4,191.85714285714286
2__mean_second_derivative_central,196,4,200.42857142857142
flux_norm_fft_4_by_0,163,4,135.57142857142858
flux_diff_4_by_2,178,4,185.28571428571428
abs_energy_5_by_4,155,4,152.0
"0__fft_coefficient__coeff_1__attr_""abs""_diff",268,4,225.71428571428572
flux_diff_1_by_0,236,4,207.85714285714286
abs_energy_3_by_2,147,4,164.42857142857142
flux_diff_5_by_1,152,4,138.14285714285714
flux_norm_fft_3_by_0,167,4,161.0
3__skewness_diff,149,4,169.28571428571428
0__maximum,210,4,214.57142857142858
abs_energy_5_by_1,123,4,117.0
flux_ratio_sq_skew,156,4,162.28571428571428
object_id_div_27,157,4,159.71428571428572
4__time_reversal_asymmetry_statistic__lag_4,205,4,199.42857142857142
5__autocorrelation__lag_3,155,4,149.0
flux__mean_abs_change,274,4,237.42857142857142
1__maximum_diff,313,4,357.7142857142857
flux__count_above_mean,143,4,160.14285714285714
"4__fft_coefficient__coeff_0__attr_""abs""_norm",217,4,203.14285714285714
flux_diff__last_location_of_minimum,128,4,148.28571428571428
3__autocorrelation__lag_3,146,4,172.71428571428572
flux_diff_5_by_4,103,4,144.0
object_id_div_22,185,4,142.28571428571428
flux_norm_fft_3_by_1,174,4,171.85714285714286
flux__longest_strike_below_mean,186,4,155.14285714285714
flux_norm_fft_4_by_3,145,4,163.85714285714286
flux_diff_4_by_1,114,4,134.57142857142858
5__flux_by_flux_ratio_sq_skew,171,4,176.28571428571428
0__skewness_diff,121,4,145.28571428571428
flux_diff__last_location_of_maximum,191,4,154.71428571428572
abs_energy_4_by_1,149,4,146.85714285714286
abs_energy_3_by_0,155,4,168.28571428571428
"5__fft_coefficient__coeff_1__attr_""abs""",263,4,231.85714285714286
"3__fft_coefficient__coeff_0__attr_""abs""_diff",216,4,218.0
"5__fft_coefficient__coeff_0__attr_""abs""_diff",210,4,198.71428571428572
flux_norm_fft_2_by_1,138,4,172.0
"5__fft_coefficient__coeff_1__attr_""abs""_diff",261,4,234.28571428571428
2__maximum,205,4,225.71428571428572
0__median,157,4,175.85714285714286
1__binned_entropy__max_bins_10_diff,126,4,170.85714285714286
2__median_diff,123,4,135.42857142857142
2__sample_entropy_norm,139,4,154.14285714285714
flux_diff__first_location_of_maximum,141,4,136.28571428571428
flux_norm_fft_5_by_1,133,4,160.0
0__mean_second_derivative_central,200,4,160.0
flux_diff__first_location_of_minimum,95,4,118.71428571428571
3__binned_entropy__max_bins_10,93,4,118.14285714285714
0__skewness,131,4,165.14285714285714
5__skewness,199,4,148.85714285714286
0__flux_dif3,139,4,144.28571428571428
hostgal_photoz,1951,5,1928.5714285714287
mjd_diff_det,1583,5,1460.857142857143
distmod,1332,5,1304.142857142857
hostgal_photoz_certain,1389,5,1289.0
hostgal_photoz_err,730,5,829.0
mjd__mean_abs_change,781,5,709.1428571428571
flux__longest_strike_above_mean,682,5,667.5714285714286
flux__sample_entropy,464,5,501.2857142857143
flux_by_flux_ratio_sq__longest_strike_above_mean,494,5,483.85714285714283
flux_by_flux_ratio_sq__median,390,5,405.57142857142856
flux_by_flux_ratio_sq__minimum,398,5,420.42857142857144
flux_by_flux_ratio_sq_skew,369,5,396.14285714285717
flux__cid_ce__normalize_True,460,5,428.7142857142857
mjd__mean_change,410,5,382.85714285714283
flux_by_flux_ratio_sq__longest_strike_below_mean,441,5,370.0
flux_diff2,337,5,333.7142857142857
flux_by_flux_ratio_sq__sample_entropy,358,5,350.42857142857144
bottom__flux_dif3,315,5,272.7142857142857
flux_err_min,395,5,397.85714285714283
0__abs_energy_norm,362,5,368.14285714285717
5__abs_energy_norm,303,5,299.42857142857144
2__skewness,243,5,260.0
2__median,313,5,283.7142857142857
bottom__flux_diff,332,5,292.85714285714283
"0__fft_coefficient__coeff_0__attr_""abs""_norm",333,5,310.2857142857143
flux_diff_2_by_1,297,5,302.2857142857143
1__skewness,308,5,274.57142857142856
flux_skew,283,5,304.57142857142856
flux__binned_entropy__max_bins_10,319,5,283.42857142857144
flux_by_flux_ratio_sq__count_above_mean,278,5,247.28571428571428
top__flux_dif3,271,5,289.0
4__cid_ce__normalize_True,302,5,293.57142857142856
flux__autocorrelation__lag_3,328,5,292.42857142857144
flux_diff__sample_entropy,308,5,293.7142857142857
abs_energy_5_by_0,276,5,247.28571428571428
abs_energy_4_by_0,298,5,312.7142857142857
flux_by_flux_ratio_sq__cid_ce__normalize_True,344,5,295.85714285714283
2__cid_ce__normalize_True,373,5,307.85714285714283
1__abs_energy_norm,316,5,280.2857142857143
0__cid_ce__normalize_True,308,5,266.42857142857144
1__cid_ce__normalize_True,326,5,305.0
2__minimum,264,5,281.42857142857144
flux_diff__longest_strike_above_mean,301,5,269.0
0__flux_by_flux_ratio_sq_sum,296,5,286.14285714285717
flux__ratio_beyond_r_sigma__r_2,272,5,233.28571428571428
flux_by_flux_ratio_sq__binned_entropy__max_bins_10,274,5,236.14285714285714
abs_energy_3_by_1,308,5,283.85714285714283
detected_mean,313,5,280.42857142857144
4__kurtosis,240,5,236.28571428571428
flux_diff_5_by_3,224,5,196.28571428571428
1__minimum,266,5,267.0
flux_norm_fft_5_by_0,193,5,222.57142857142858
1__flux_by_flux_ratio_sq_skew,331,5,263.85714285714283
abs_energy_2_by_1,278,5,243.0
5__median,263,5,235.0
flux__time_reversal_asymmetry_statistic__lag_4,295,5,279.2857142857143
1__median,276,5,266.42857142857144
5__kurtosis,183,5,200.57142857142858
1__kurtosis,234,5,193.85714285714286
"5__fft_coefficient__coeff_1__attr_""abs""_norm",242,5,199.85714285714286
3__skewness,208,5,213.14285714285714
2__skewness_diff,233,5,227.28571428571428
flux_diff_3_by_1,174,5,184.85714285714286
flux_diff_3_by_2,175,5,181.28571428571428
3__cid_ce__normalize_True,188,5,240.28571428571428
flux_diff__binned_entropy__max_bins_10,246,5,217.28571428571428
flux_median,262,5,253.85714285714286
abs_energy_5_by_2,223,5,195.42857142857142
flux_norm_fft_5_by_2,251,5,235.28571428571428
5__abs_energy,344,5,323.57142857142856
flux_diff_5_by_2,223,5,207.0
flux_by_flux_ratio_sq__first_location_of_minimum,230,5,231.28571428571428
3__kurtosis,238,5,224.14285714285714
flux_by_flux_ratio_sq__autocorrelation__lag_3,235,5,219.14285714285714
"2__fft_coefficient__coeff_0__attr_""abs""_diff",242,5,219.85714285714286
5__cid_ce__normalize_True,301,5,252.85714285714286
2__kurtosis,256,5,200.57142857142858
abs_energy_5_by_3,180,5,192.57142857142858
"5__fft_coefficient__coeff_0__attr_""abs""_norm",226,5,212.42857142857142
2__flux_dif3,329,5,278.42857142857144
5__binned_entropy__max_bins_10,226,5,223.85714285714286
flux_by_flux_ratio_sq__count_below_mean,287,5,266.14285714285717
0__mean,237,5,209.85714285714286
flux_norm_fft_4_by_2,253,5,215.71428571428572
bottom__abs_energy_norm,246,5,177.57142857142858
4__skewness_diff,247,5,246.42857142857142
flux_diff_skew,260,5,240.85714285714286
flux_diff__longest_strike_below_mean,253,5,250.28571428571428
4__median,221,5,196.57142857142858
4__skewness,285,5,206.0
"5__fft_coefficient__coeff_0__attr_""abs""",235,5,247.42857142857142
flux_diff_4_by_3,146,5,174.14285714285714
"0__fft_coefficient__coeff_1__attr_""abs""_norm",191,5,182.57142857142858
0__time_reversal_asymmetry_statistic__lag_4_diff,196,5,190.28571428571428
flux__mean_second_derivative_central,216,5,195.71428571428572
2__binned_entropy__max_bins_10,206,5,187.14285714285714
flux_diff_3_by_0,220,5,225.14285714285714
1__flux_dif3,171,5,199.42857142857142
5__sample_entropy_norm,279,5,236.28571428571428
flux_norm_fft_2_by_0,174,5,173.85714285714286
"1__fft_coefficient__coeff_0__attr_""abs""_diff",194,5,195.14285714285714
4__median_diff,169,5,160.57142857142858
4__flux_by_flux_ratio_sq_skew,165,5,153.71428571428572
1__sample_entropy_norm,279,5,227.42857142857142
4__autocorrelation__lag_3,228,5,177.57142857142858
flux__absolute_sum_of_changes,258,5,263.57142857142856
"4__fft_coefficient__coeff_1__attr_""abs""_norm",186,5,185.42857142857142
3__median,176,5,191.85714285714286
2__mean_second_derivative_central,181,5,200.42857142857142
flux_norm_fft_4_by_0,131,5,135.57142857142858
flux_diff_4_by_2,203,5,185.28571428571428
abs_energy_5_by_4,151,5,152.0
"0__fft_coefficient__coeff_1__attr_""abs""_diff",277,5,225.71428571428572
flux_diff_1_by_0,220,5,207.85714285714286
abs_energy_3_by_2,158,5,164.42857142857142
flux_diff_5_by_1,141,5,138.14285714285714
flux_norm_fft_3_by_0,149,5,161.0
3__skewness_diff,215,5,169.28571428571428
0__maximum,203,5,214.57142857142858
abs_energy_5_by_1,121,5,117.0
flux_ratio_sq_skew,130,5,162.28571428571428
object_id_div_27,196,5,159.71428571428572
4__time_reversal_asymmetry_statistic__lag_4,288,5,199.42857142857142
5__autocorrelation__lag_3,121,5,149.0
flux__mean_abs_change,254,5,237.42857142857142
1__maximum_diff,410,5,357.7142857142857
flux__count_above_mean,163,5,160.14285714285714
"4__fft_coefficient__coeff_0__attr_""abs""_norm",201,5,203.14285714285714
flux_diff__last_location_of_minimum,155,5,148.28571428571428
3__autocorrelation__lag_3,222,5,172.71428571428572
flux_diff_5_by_4,172,5,144.0
object_id_div_22,125,5,142.28571428571428
flux_norm_fft_3_by_1,188,5,171.85714285714286
flux__longest_strike_below_mean,166,5,155.14285714285714
flux_norm_fft_4_by_3,118,5,163.85714285714286
flux_diff_4_by_1,141,5,134.57142857142858
5__flux_by_flux_ratio_sq_skew,210,5,176.28571428571428
0__skewness_diff,200,5,145.28571428571428
flux_diff__last_location_of_maximum,173,5,154.71428571428572
abs_energy_4_by_1,189,5,146.85714285714286
abs_energy_3_by_0,194,5,168.28571428571428
"5__fft_coefficient__coeff_1__attr_""abs""",280,5,231.85714285714286
"3__fft_coefficient__coeff_0__attr_""abs""_diff",280,5,218.0
"5__fft_coefficient__coeff_0__attr_""abs""_diff",168,5,198.71428571428572
flux_norm_fft_2_by_1,219,5,172.0
"5__fft_coefficient__coeff_1__attr_""abs""_diff",267,5,234.28571428571428
2__maximum,307,5,225.71428571428572
0__median,251,5,175.85714285714286
1__binned_entropy__max_bins_10_diff,207,5,170.85714285714286
2__median_diff,115,5,135.42857142857142
2__sample_entropy_norm,173,5,154.14285714285714
flux_diff__first_location_of_maximum,128,5,136.28571428571428
flux_norm_fft_5_by_1,214,5,160.0
0__mean_second_derivative_central,206,5,160.0
flux_diff__first_location_of_minimum,112,5,118.71428571428571
3__binned_entropy__max_bins_10,134,5,118.14285714285714
0__skewness,154,5,165.14285714285714
5__skewness,178,5,148.85714285714286
0__flux_dif3,136,5,144.28571428571428
hostgal_photoz,1872,6,1928.5714285714287
mjd_diff_det,1184,6,1460.857142857143
distmod,1164,6,1304.142857142857
hostgal_photoz_certain,1176,6,1289.0
hostgal_photoz_err,644,6,829.0
mjd__mean_abs_change,593,6,709.1428571428571
flux__longest_strike_above_mean,569,6,667.5714285714286
flux__sample_entropy,444,6,501.2857142857143
flux_by_flux_ratio_sq__longest_strike_above_mean,453,6,483.85714285714283
flux_by_flux_ratio_sq__median,358,6,405.57142857142856
flux_by_flux_ratio_sq__minimum,329,6,420.42857142857144
flux_by_flux_ratio_sq_skew,370,6,396.14285714285717
flux__cid_ce__normalize_True,367,6,428.7142857142857
mjd__mean_change,313,6,382.85714285714283
flux_by_flux_ratio_sq__longest_strike_below_mean,347,6,370.0
flux_diff2,317,6,333.7142857142857
flux_by_flux_ratio_sq__sample_entropy,295,6,350.42857142857144
bottom__flux_dif3,220,6,272.7142857142857
flux_err_min,315,6,397.85714285714283
0__abs_energy_norm,321,6,368.14285714285717
5__abs_energy_norm,267,6,299.42857142857144
2__skewness,218,6,260.0
2__median,194,6,283.7142857142857
bottom__flux_diff,245,6,292.85714285714283
"0__fft_coefficient__coeff_0__attr_""abs""_norm",315,6,310.2857142857143
flux_diff_2_by_1,295,6,302.2857142857143
1__skewness,261,6,274.57142857142856
flux_skew,253,6,304.57142857142856
flux__binned_entropy__max_bins_10,308,6,283.42857142857144
flux_by_flux_ratio_sq__count_above_mean,213,6,247.28571428571428
top__flux_dif3,198,6,289.0
4__cid_ce__normalize_True,261,6,293.57142857142856
flux__autocorrelation__lag_3,275,6,292.42857142857144
flux_diff__sample_entropy,295,6,293.7142857142857
abs_energy_5_by_0,228,6,247.28571428571428
abs_energy_4_by_0,328,6,312.7142857142857
flux_by_flux_ratio_sq__cid_ce__normalize_True,231,6,295.85714285714283
2__cid_ce__normalize_True,240,6,307.85714285714283
1__abs_energy_norm,235,6,280.2857142857143
0__cid_ce__normalize_True,188,6,266.42857142857144
1__cid_ce__normalize_True,225,6,305.0
2__minimum,240,6,281.42857142857144
flux_diff__longest_strike_above_mean,213,6,269.0
0__flux_by_flux_ratio_sq_sum,262,6,286.14285714285717
flux__ratio_beyond_r_sigma__r_2,198,6,233.28571428571428
flux_by_flux_ratio_sq__binned_entropy__max_bins_10,171,6,236.14285714285714
abs_energy_3_by_1,251,6,283.85714285714283
detected_mean,230,6,280.42857142857144
4__kurtosis,178,6,236.28571428571428
flux_diff_5_by_3,141,6,196.28571428571428
1__minimum,202,6,267.0
flux_norm_fft_5_by_0,165,6,222.57142857142858
1__flux_by_flux_ratio_sq_skew,206,6,263.85714285714283
abs_energy_2_by_1,238,6,243.0
5__median,222,6,235.0
flux__time_reversal_asymmetry_statistic__lag_4,251,6,279.2857142857143
1__median,224,6,266.42857142857144
5__kurtosis,141,6,200.57142857142858
1__kurtosis,160,6,193.85714285714286
"5__fft_coefficient__coeff_1__attr_""abs""_norm",204,6,199.85714285714286
3__skewness,191,6,213.14285714285714
2__skewness_diff,205,6,227.28571428571428
flux_diff_3_by_1,126,6,184.85714285714286
flux_diff_3_by_2,180,6,181.28571428571428
3__cid_ce__normalize_True,174,6,240.28571428571428
flux_diff__binned_entropy__max_bins_10,206,6,217.28571428571428
flux_median,203,6,253.85714285714286
abs_energy_5_by_2,157,6,195.42857142857142
flux_norm_fft_5_by_2,247,6,235.28571428571428
5__abs_energy,258,6,323.57142857142856
flux_diff_5_by_2,190,6,207.0
flux_by_flux_ratio_sq__first_location_of_minimum,156,6,231.28571428571428
3__kurtosis,217,6,224.14285714285714
flux_by_flux_ratio_sq__autocorrelation__lag_3,185,6,219.14285714285714
"2__fft_coefficient__coeff_0__attr_""abs""_diff",185,6,219.85714285714286
5__cid_ce__normalize_True,183,6,252.85714285714286
2__kurtosis,221,6,200.57142857142858
abs_energy_5_by_3,139,6,192.57142857142858
"5__fft_coefficient__coeff_0__attr_""abs""_norm",172,6,212.42857142857142
2__flux_dif3,217,6,278.42857142857144
5__binned_entropy__max_bins_10,188,6,223.85714285714286
flux_by_flux_ratio_sq__count_below_mean,182,6,266.14285714285717
0__mean,189,6,209.85714285714286
flux_norm_fft_4_by_2,151,6,215.71428571428572
bottom__abs_energy_norm,122,6,177.57142857142858
4__skewness_diff,203,6,246.42857142857142
flux_diff_skew,156,6,240.85714285714286
flux_diff__longest_strike_below_mean,180,6,250.28571428571428
4__median,194,6,196.57142857142858
4__skewness,165,6,206.0
"5__fft_coefficient__coeff_0__attr_""abs""",212,6,247.42857142857142
flux_diff_4_by_3,142,6,174.14285714285714
"0__fft_coefficient__coeff_1__attr_""abs""_norm",155,6,182.57142857142858
0__time_reversal_asymmetry_statistic__lag_4_diff,165,6,190.28571428571428
flux__mean_second_derivative_central,95,6,195.71428571428572
2__binned_entropy__max_bins_10,103,6,187.14285714285714
flux_diff_3_by_0,194,6,225.14285714285714
1__flux_dif3,73,6,199.42857142857142
5__sample_entropy_norm,180,6,236.28571428571428
flux_norm_fft_2_by_0,163,6,173.85714285714286
"1__fft_coefficient__coeff_0__attr_""abs""_diff",149,6,195.14285714285714
4__median_diff,98,6,160.57142857142858
4__flux_by_flux_ratio_sq_skew,80,6,153.71428571428572
1__sample_entropy_norm,195,6,227.42857142857142
4__autocorrelation__lag_3,134,6,177.57142857142858
flux__absolute_sum_of_changes,253,6,263.57142857142856
"4__fft_coefficient__coeff_1__attr_""abs""_norm",189,6,185.42857142857142
3__median,133,6,191.85714285714286
2__mean_second_derivative_central,137,6,200.42857142857142
flux_norm_fft_4_by_0,125,6,135.57142857142858
flux_diff_4_by_2,117,6,185.28571428571428
abs_energy_5_by_4,118,6,152.0
"0__fft_coefficient__coeff_1__attr_""abs""_diff",156,6,225.71428571428572
flux_diff_1_by_0,181,6,207.85714285714286
abs_energy_3_by_2,147,6,164.42857142857142
flux_diff_5_by_1,140,6,138.14285714285714
flux_norm_fft_3_by_0,145,6,161.0
3__skewness_diff,158,6,169.28571428571428
0__maximum,206,6,214.57142857142858
abs_energy_5_by_1,106,6,117.0
flux_ratio_sq_skew,141,6,162.28571428571428
object_id_div_27,135,6,159.71428571428572
4__time_reversal_asymmetry_statistic__lag_4,164,6,199.42857142857142
5__autocorrelation__lag_3,86,6,149.0
flux__mean_abs_change,198,6,237.42857142857142
1__maximum_diff,342,6,357.7142857142857
flux__count_above_mean,142,6,160.14285714285714
"4__fft_coefficient__coeff_0__attr_""abs""_norm",198,6,203.14285714285714
flux_diff__last_location_of_minimum,126,6,148.28571428571428
3__autocorrelation__lag_3,179,6,172.71428571428572
flux_diff_5_by_4,123,6,144.0
object_id_div_22,85,6,142.28571428571428
flux_norm_fft_3_by_1,173,6,171.85714285714286
flux__longest_strike_below_mean,116,6,155.14285714285714
flux_norm_fft_4_by_3,138,6,163.85714285714286
flux_diff_4_by_1,118,6,134.57142857142858
5__flux_by_flux_ratio_sq_skew,111,6,176.28571428571428
0__skewness_diff,110,6,145.28571428571428
flux_diff__last_location_of_maximum,115,6,154.71428571428572
abs_energy_4_by_1,103,6,146.85714285714286
abs_energy_3_by_0,162,6,168.28571428571428
"5__fft_coefficient__coeff_1__attr_""abs""",170,6,231.85714285714286
"3__fft_coefficient__coeff_0__attr_""abs""_diff",137,6,218.0
"5__fft_coefficient__coeff_0__attr_""abs""_diff",145,6,198.71428571428572
flux_norm_fft_2_by_1,159,6,172.0
"5__fft_coefficient__coeff_1__attr_""abs""_diff",195,6,234.28571428571428
2__maximum,217,6,225.71428571428572
0__median,131,6,175.85714285714286
1__binned_entropy__max_bins_10_diff,155,6,170.85714285714286
2__median_diff,119,6,135.42857142857142
2__sample_entropy_norm,105,6,154.14285714285714
flux_diff__first_location_of_maximum,116,6,136.28571428571428
flux_norm_fft_5_by_1,166,6,160.0
0__mean_second_derivative_central,82,6,160.0
flux_diff__first_location_of_minimum,94,6,118.71428571428571
3__binned_entropy__max_bins_10,134,6,118.14285714285714
0__skewness,140,6,165.14285714285714
5__skewness,112,6,148.85714285714286
0__flux_dif3,75,6,144.28571428571428
hostgal_photoz,1926,7,1928.5714285714287
mjd_diff_det,1458,7,1460.857142857143
distmod,1278,7,1304.142857142857
hostgal_photoz_certain,1307,7,1289.0
hostgal_photoz_err,753,7,829.0
mjd__mean_abs_change,683,7,709.1428571428571
flux__longest_strike_above_mean,655,7,667.5714285714286
flux__sample_entropy,485,7,501.2857142857143
flux_by_flux_ratio_sq__longest_strike_above_mean,511,7,483.85714285714283
flux_by_flux_ratio_sq__median,445,7,405.57142857142856
flux_by_flux_ratio_sq__minimum,459,7,420.42857142857144
flux_by_flux_ratio_sq_skew,426,7,396.14285714285717
flux__cid_ce__normalize_True,447,7,428.7142857142857
mjd__mean_change,408,7,382.85714285714283
flux_by_flux_ratio_sq__longest_strike_below_mean,379,7,370.0
flux_diff2,322,7,333.7142857142857
flux_by_flux_ratio_sq__sample_entropy,416,7,350.42857142857144
bottom__flux_dif3,290,7,272.7142857142857
flux_err_min,410,7,397.85714285714283
0__abs_energy_norm,307,7,368.14285714285717
5__abs_energy_norm,334,7,299.42857142857144
2__skewness,260,7,260.0
2__median,307,7,283.7142857142857
bottom__flux_diff,251,7,292.85714285714283
"0__fft_coefficient__coeff_0__attr_""abs""_norm",246,7,310.2857142857143
flux_diff_2_by_1,266,7,302.2857142857143
1__skewness,275,7,274.57142857142856
flux_skew,311,7,304.57142857142856
flux__binned_entropy__max_bins_10,309,7,283.42857142857144
flux_by_flux_ratio_sq__count_above_mean,286,7,247.28571428571428
top__flux_dif3,364,7,289.0
4__cid_ce__normalize_True,309,7,293.57142857142856
flux__autocorrelation__lag_3,307,7,292.42857142857144
flux_diff__sample_entropy,249,7,293.7142857142857
abs_energy_5_by_0,171,7,247.28571428571428
abs_energy_4_by_0,364,7,312.7142857142857
flux_by_flux_ratio_sq__cid_ce__normalize_True,318,7,295.85714285714283
2__cid_ce__normalize_True,332,7,307.85714285714283
1__abs_energy_norm,275,7,280.2857142857143
0__cid_ce__normalize_True,271,7,266.42857142857144
1__cid_ce__normalize_True,263,7,305.0
2__minimum,345,7,281.42857142857144
flux_diff__longest_strike_above_mean,271,7,269.0
0__flux_by_flux_ratio_sq_sum,325,7,286.14285714285717
flux__ratio_beyond_r_sigma__r_2,228,7,233.28571428571428
flux_by_flux_ratio_sq__binned_entropy__max_bins_10,249,7,236.14285714285714
abs_energy_3_by_1,310,7,283.85714285714283
detected_mean,274,7,280.42857142857144
4__kurtosis,253,7,236.28571428571428
flux_diff_5_by_3,210,7,196.28571428571428
1__minimum,349,7,267.0
flux_norm_fft_5_by_0,217,7,222.57142857142858
1__flux_by_flux_ratio_sq_skew,262,7,263.85714285714283
abs_energy_2_by_1,244,7,243.0
5__median,238,7,235.0
flux__time_reversal_asymmetry_statistic__lag_4,312,7,279.2857142857143
1__median,265,7,266.42857142857144
5__kurtosis,217,7,200.57142857142858
1__kurtosis,201,7,193.85714285714286
"5__fft_coefficient__coeff_1__attr_""abs""_norm",204,7,199.85714285714286
3__skewness,221,7,213.14285714285714
2__skewness_diff,254,7,227.28571428571428
flux_diff_3_by_1,202,7,184.85714285714286
flux_diff_3_by_2,233,7,181.28571428571428
3__cid_ce__normalize_True,267,7,240.28571428571428
flux_diff__binned_entropy__max_bins_10,223,7,217.28571428571428
flux_median,259,7,253.85714285714286
abs_energy_5_by_2,236,7,195.42857142857142
flux_norm_fft_5_by_2,207,7,235.28571428571428
5__abs_energy,404,7,323.57142857142856
flux_diff_5_by_2,183,7,207.0
flux_by_flux_ratio_sq__first_location_of_minimum,278,7,231.28571428571428
3__kurtosis,250,7,224.14285714285714
flux_by_flux_ratio_sq__autocorrelation__lag_3,282,7,219.14285714285714
"2__fft_coefficient__coeff_0__attr_""abs""_diff",205,7,219.85714285714286
5__cid_ce__normalize_True,240,7,252.85714285714286
2__kurtosis,169,7,200.57142857142858
abs_energy_5_by_3,171,7,192.57142857142858
"5__fft_coefficient__coeff_0__attr_""abs""_norm",243,7,212.42857142857142
2__flux_dif3,242,7,278.42857142857144
5__binned_entropy__max_bins_10,260,7,223.85714285714286
flux_by_flux_ratio_sq__count_below_mean,253,7,266.14285714285717
0__mean,231,7,209.85714285714286
flux_norm_fft_4_by_2,225,7,215.71428571428572
bottom__abs_energy_norm,157,7,177.57142857142858
4__skewness_diff,206,7,246.42857142857142
flux_diff_skew,233,7,240.85714285714286
flux_diff__longest_strike_below_mean,228,7,250.28571428571428
4__median,232,7,196.57142857142858
4__skewness,165,7,206.0
"5__fft_coefficient__coeff_0__attr_""abs""",273,7,247.42857142857142
flux_diff_4_by_3,193,7,174.14285714285714
"0__fft_coefficient__coeff_1__attr_""abs""_norm",191,7,182.57142857142858
0__time_reversal_asymmetry_statistic__lag_4_diff,147,7,190.28571428571428
flux__mean_second_derivative_central,276,7,195.71428571428572
2__binned_entropy__max_bins_10,194,7,187.14285714285714
flux_diff_3_by_0,244,7,225.14285714285714
1__flux_dif3,213,7,199.42857142857142
5__sample_entropy_norm,259,7,236.28571428571428
flux_norm_fft_2_by_0,223,7,173.85714285714286
"1__fft_coefficient__coeff_0__attr_""abs""_diff",157,7,195.14285714285714
4__median_diff,201,7,160.57142857142858
4__flux_by_flux_ratio_sq_skew,153,7,153.71428571428572
1__sample_entropy_norm,218,7,227.42857142857142
4__autocorrelation__lag_3,149,7,177.57142857142858
flux__absolute_sum_of_changes,290,7,263.57142857142856
"4__fft_coefficient__coeff_1__attr_""abs""_norm",169,7,185.42857142857142
3__median,194,7,191.85714285714286
2__mean_second_derivative_central,234,7,200.42857142857142
flux_norm_fft_4_by_0,148,7,135.57142857142858
flux_diff_4_by_2,205,7,185.28571428571428
abs_energy_5_by_4,133,7,152.0
"0__fft_coefficient__coeff_1__attr_""abs""_diff",278,7,225.71428571428572
flux_diff_1_by_0,182,7,207.85714285714286
abs_energy_3_by_2,179,7,164.42857142857142
flux_diff_5_by_1,133,7,138.14285714285714
flux_norm_fft_3_by_0,135,7,161.0
3__skewness_diff,141,7,169.28571428571428
0__maximum,258,7,214.57142857142858
abs_energy_5_by_1,117,7,117.0
flux_ratio_sq_skew,166,7,162.28571428571428
object_id_div_27,156,7,159.71428571428572
4__time_reversal_asymmetry_statistic__lag_4,253,7,199.42857142857142
5__autocorrelation__lag_3,164,7,149.0
flux__mean_abs_change,230,7,237.42857142857142
1__maximum_diff,298,7,357.7142857142857
flux__count_above_mean,162,7,160.14285714285714
"4__fft_coefficient__coeff_0__attr_""abs""_norm",177,7,203.14285714285714
flux_diff__last_location_of_minimum,154,7,148.28571428571428
3__autocorrelation__lag_3,103,7,172.71428571428572
flux_diff_5_by_4,166,7,144.0
object_id_div_22,156,7,142.28571428571428
flux_norm_fft_3_by_1,162,7,171.85714285714286
flux__longest_strike_below_mean,128,7,155.14285714285714
flux_norm_fft_4_by_3,197,7,163.85714285714286
flux_diff_4_by_1,121,7,134.57142857142858
5__flux_by_flux_ratio_sq_skew,139,7,176.28571428571428
0__skewness_diff,126,7,145.28571428571428
flux_diff__last_location_of_maximum,159,7,154.71428571428572
abs_energy_4_by_1,151,7,146.85714285714286
