abs_energy_3_by_0,168.28571428571428
0__skewness,165.14285714285714
abs_energy_3_by_2,164.42857142857142
flux_norm_fft_4_by_3,163.85714285714286
flux_ratio_sq_skew,162.28571428571428
flux_norm_fft_3_by_0,161.0
4__median_diff,160.57142857142858
flux__count_above_mean,160.14285714285714
0__mean_second_derivative_central,160.0
flux_norm_fft_5_by_1,160.0
object_id_div_27,159.71428571428572
flux__longest_strike_below_mean,155.14285714285714
flux_diff__last_location_of_maximum,154.71428571428572
2__sample_entropy_norm,154.14285714285714
4__flux_by_flux_ratio_sq_skew,153.71428571428572
abs_energy_5_by_4,152.0
5__autocorrelation__lag_3,149.0
5__skewness,148.85714285714286
flux_diff__last_location_of_minimum,148.28571428571428
abs_energy_4_by_1,146.85714285714286
0__skewness_diff,145.28571428571428
0__flux_dif3,144.28571428571428
flux_diff_5_by_4,144.0
object_id_div_22,142.28571428571428
flux_diff_5_by_1,138.14285714285714
flux_diff__first_location_of_maximum,136.28571428571428
flux_norm_fft_4_by_0,135.57142857142858
2__median_diff,135.42857142857142
flux_diff_4_by_1,134.57142857142858
flux_diff__first_location_of_minimum,118.71428571428571
3__binned_entropy__max_bins_10,118.14285714285714
abs_energy_5_by_1,117.0
